# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.3 	-0.704466 	5.20594e-05 	0.016779 	5.36032e-05 	3.19547 	0.0197238 	2.6234 	0.0174394
0.35 	-0.879837 	6.4008e-05 	0.0244815 	8.03006e-05 	3.90716 	0.0224464 	5.67793 	0.0425731
0.36 	-0.919881 	5.78855e-05 	0.0271034 	0.000106244 	4.12535 	0.0235251 	6.8714 	0.0530474
0.37 	-0.961887 	6.74675e-05 	0.0304526 	0.000141502 	4.33753 	0.0244472 	8.69284 	0.0904088
0.38 	-1.00666 	7.12874e-05 	0.0346622 	0.000165835 	4.6267 	0.0265797 	11.3001 	0.112747
0.39 	-1.05446 	8.25483e-05 	0.0406821 	0.000221071 	4.92595 	0.0273153 	15.4805 	0.184359
0.4 	-1.1061 	8.62349e-05 	0.0501986 	0.000374309 	5.40996 	0.0314029 	23.5149 	0.386765
0.405 	-1.13375 	9.61784e-05 	0.0557087 	0.000445268 	5.60161 	0.0318966 	28.1852 	0.425303
0.41 	-1.16267 	0.000104515 	0.0631799 	0.000572403 	5.89891 	0.0330366 	36.7939 	0.742115
0.415 	-1.19305 	0.000129496 	0.0743562 	0.000849406 	6.34151 	0.0393818 	50.6245 	1.15246
0.4175 	-1.20986 	0.000333502 	0.0794804 	0.00248379 	6.43587 	0.0864515 	58.158 	3.49004
0.42 	-1.22612 	0.000146553 	0.087009 	0.00118669 	6.72157 	0.0462678 	72.0621 	1.95438
0.4225 	-1.24268 	0.00048382 	0.101104 	0.00350799 	7.28577 	0.119688 	89.0241 	5.5433
0.425 	-1.26173 	0.00018203 	0.119581 	0.00188362 	7.45551 	0.0534378 	127.924 	4.04705
0.4275 	-1.28079 	0.000539012 	0.12854 	0.00497572 	7.48612 	0.143039 	145.648 	9.58463
0.43 	-1.30056 	0.000266984 	0.161209 	0.00305416 	8.36189 	0.0817631 	209.654 	6.96274
0.4325 	-1.32319 	0.000824337 	0.213748 	0.00865703 	9.78828 	0.314712 	363.853 	22.7251
0.435 	-1.34753 	0.000373493 	0.277654 	0.00464822 	10.7219 	0.154028 	432.207 	10.0621
0.4375 	-1.37647 	0.00110793 	0.395275 	0.0102321 	12.1914 	0.374624 	446.918 	28.923
0.44 	-1.41181 	0.00118781 	0.537234 	0.00917429 	13.8282 	0.511495 	381.633 	41.0385
0.4425 	-1.44142 	0.000927297 	0.624327 	0.00536537 	11.3967 	0.376202 	155.37 	19.0184
0.445 	-1.46827 	0.000387943 	0.681369 	0.00168281 	10.1398 	0.135553 	77.007 	6.04669
0.4475 	-1.49339 	0.000703634 	0.723797 	0.00261078 	8.79223 	0.214554 	39.4972 	5.48295
0.45 	-1.51316 	0.000225089 	0.749391 	0.000879452 	8.0069 	0.0970572 	27.0587 	4.39185
0.46 	-1.58127 	0.000121563 	0.814745 	0.000241872 	5.87442 	0.0397147 	5.97689 	0.211411
0.47 	-1.6343 	9.29135e-05 	0.852082 	0.000101666 	4.77296 	0.0263757 	2.79528 	0.0343898
0.48 	-1.67779 	6.55692e-05 	0.877571 	6.30381e-05 	3.94264 	0.0212389 	1.6423 	0.0151426
0.53 	-1.81639 	0.000155468 	0.936222 	0.001757 	2.35403 	0.133935 	50.3492 	19.4801
