#L 	y_max 	error 	c 	error 	x_max 	error
8	6.88419	0.0130674	787.691	18.0127	0.406117	0.000262738
16	8.40184	0.0219826	2969.96	82.2834	0.426165	0.000180526
32	10.0142	0.04379	11511.2	655.221	0.434492	0.000185931
48	10.9817	0.063323	27755.7	1548.89	0.436864	0.000132487
64	11.8179	0.107367	44665.6	4952.61	0.438139	0.000210576
80	12.2148	0.215767	45464.2	9340.9	0.439123	0.00041693
96	12.2606	0.287883	72762.2	29994	0.439836	0.000668883
112	12.8175	0.286711	62101.1	32372.6	0.440684	0.00126302
128	13.0406	0.337352	134471	28471.4	0.439176	0.00024318

# without Welford's algorithm
#8	6.88588	0.0128522	792.458	18.1231	0.406209	0.000260704
#16	8.40093	0.0211301	2963.41	79.8491	0.426173	0.00017418
#32	10.0115	0.0428696	11483.6	662.222	0.434512	0.000191059
#48	11.0095	0.0826887	27588.3	2028.51	0.437062	0.000163985
#64	11.8336	0.104298	44892.3	4602.44	0.438142	0.00020626
#80	12.1882	0.226285	44525.7	9417.09	0.439151	0.000423401
#96	12.2546	0.272861	71933.8	28866.8	0.439857	0.000670108
#112	12.8268	0.284523	63569.3	31841.1	0.440631	0.00120191
#128	12.9252	0.341947	126438	28678.1	0.439196	0.000269091
