# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.415 	-1.19303 	0.000498341 	0.119859 	0.00339794 	6.33548 	0.0878607 	46.7591 	2.18132
0.4175 	-1.21056 	0.000544275 	0.130854 	0.0037781 	6.55997 	0.121643 	56.4469 	3.19658
0.42 	-1.2271 	0.00060205 	0.148484 	0.00447495 	6.91241 	0.112946 	68.1113 	3.45452
0.4225 	-1.24368 	0.000741641 	0.162774 	0.00530828 	7.27966 	0.155353 	91.5595 	5.35042
0.425 	-1.26402 	0.000770071 	0.190196 	0.00578363 	7.34924 	0.161748 	111.975 	6.12462
0.4275 	-1.2806 	0.00088171 	0.20854 	0.00645085 	8.06681 	0.173344 	129.399 	6.05658
0.43 	-1.30191 	0.00107466 	0.247795 	0.00837783 	8.79328 	0.257766 	159.398 	8.30878
0.432 	-1.32468 	0.000996859 	0.32586 	0.00816428 	9.91838 	0.19005 	209.412 	5.31047
0.4325 	-1.32652 	0.00135559 	0.316229 	0.0106737 	10.3478 	0.290649 	206.544 	8.1602
0.434 	-1.34377 	0.00113989 	0.368524 	0.00838657 	10.8735 	0.226493 	222.971 	6.92133
0.435 	-1.3574 	0.00155383 	0.412137 	0.010812 	10.9531 	0.330669 	217.396 	11.7146
0.436 	-1.36467 	0.00113591 	0.420198 	0.00826471 	11.68 	0.21751 	236.294 	7.86109
0.437 	-1.37389 	0.00135316 	0.437197 	0.00897513 	11.8021 	0.210142 	243.072 	10.0216
0.4375 	-1.38397 	0.00178659 	0.484085 	0.0108049 	12.6373 	0.356715 	230.425 	16.6714
0.438 	-1.38662 	0.00141115 	0.478673 	0.00925782 	12.1159 	0.240164 	229.288 	11.5431
0.439 	-1.40039 	0.00135614 	0.52234 	0.0082889 	12.5985 	0.228059 	209.144 	14.0761
0.44 	-1.41227 	0.00185112 	0.555179 	0.00899297 	12.0676 	0.328008 	187.755 	17.5555
0.442 	-1.43374 	0.00130215 	0.600278 	0.00828352 	11.9216 	0.271597 	160.103 	17.7821
0.4425 	-1.44004 	0.00156361 	0.623367 	0.00736731 	11.6427 	0.387932 	117.644 	14.6006
0.445 	-1.46662 	0.00147474 	0.665619 	0.00874551 	10.6646 	0.445559 	129.129 	25.5852
0.4475 	-1.49307 	0.00118262 	0.719771 	0.00472534 	8.78754 	0.319645 	52.9314 	13.7936
0.45 	-1.51184 	0.000811423 	0.74723 	0.00247672 	7.77301 	0.163721 	18.7375 	1.72428
0.46 	-1.58046 	0.000566683 	0.81241 	0.00136417 	5.90112 	0.117347 	8.11176 	1.72796
